word,meaning,native
konnichiwa,hello,こんにちは
ohayou gozaimasu,good morning,おはようございます
konbanwa,good evening,こんばんは
sayounara,goodbye,さようなら
arigatou gozaimasu,thank you very much,ありがとうございます
sumimasen,excuse me / sorry,すみません
hai,yes,はい
iie,no,いいえ
wakarimasen,I don't understand,わかりません
wakarimasu,I understand,わかります
mizu,water,水
gohan,rice / meal,ご飯
neko,cat,猫
inu,dog,犬
hon,book,本
kuruma,car,車
ie,house / home,家
hito,person,人
tomodachi,friend,友達
sensei,teacher,先生
gakusei,student,学生
taberu,to eat,食べる
nomu,to drink,飲む
iku,to go,行く
kuru,to come,来る
miru,to see / to watch,見る
kiku,to listen / to hear,聞く
yomu,to read,読む
kaku,to write,書く
hanasu,to speak / to talk,話す
