word,meaning,native,sentence
# ── Verbs ────────────────────────────────────────────────────────────────────
iru,to be / to exist (animate),いる,猫がここに{{いる}}。
aru,to be / to exist (inanimate),ある,机の上に本が{{ある}}。
suru,to do,する,毎日勉強を{{する}}。
iku,to go,行く,明日公園に{{行く}}。
kuru,to come,来る,友達が家に{{来る}}。
miru,to see / to look,見る,映画を{{見る}}のが好きです。
kiku,to hear / to listen / to ask,聞く,先生の説明を{{聞く}}。
iu,to say,言う,私は彼に{{言う}}。
omou,to think,思う,これはいい考えだと{{思う}}。
wakaru,to understand,わかる,日本語の意味が{{わかる}}。
shiru,to know,知る,その話を{{知る}}。
naru,to become,なる,春になると暖かく{{なる}}。
tsukau,to use,使う,ペンを{{使う}}して書きます。
taberu,to eat,食べる,朝ごはんを{{食べる}}。
nomu,to drink,飲む,水を{{飲む}}。
kaku,to write,書く,日記を{{書く}}。
yomu,to read,読む,新聞を毎日{{読む}}。
hanasu,to speak / to talk,話す,友達と日本語を{{話す}}。
au,to meet,会う,来週友達に{{会う}}。
kaeru,to return / to go home,帰る,仕事が終わって{{帰る}}。
deru,to leave / to exit,出る,朝七時に家を{{出る}}。
hairu,to enter,入る,教室に{{入る}}。
mitsukeru,to find,見つける,失くした鍵を{{見つける}}。
motsu,to hold / to have,持つ,荷物を{{持つ}}。
okiru,to wake up / to happen,起きる,毎朝六時に{{起きる}}。
neru,to sleep,寝る,夜十時に{{寝る}}。
hashiru,to run,走る,公園で子どもが{{走る}}。
aruku,to walk,歩く,駅から家まで{{歩く}}。
oyogu,to swim,泳ぐ,夏にプールで{{泳ぐ}}。
tobu,to fly / to jump,飛ぶ,鳥が空に{{飛ぶ}}。
tsukuru,to make / to create,作る,母が夕食を{{作る}}。
kowasu,to break,壊す,子どもがおもちゃを{{壊す}}。
haku,to put on (shoes/pants),はく,靴を{{はく}}。
kiru,to wear / to cut,着る,新しいシャツを{{着る}}。
nugu,to take off (clothes),脱ぐ,暑いので、シャツを{{脱ぐ}}ことにしました。
noseru,to put on / to load,乗せる,荷物を車に{{乗せる}}。
oriru,to get off / to come down,降りる,駅で電車から{{降りる}}。
nooru,to ride / to get on,乗る,自転車に{{乗る}}。
toru,to take / to pick up,取る,机の上の本を{{取る}}。
okuru,to send,送る,手紙を友達に{{送る}}。
morau,to receive,もらう,兄からプレゼントを{{もらう}}。
ageru,to give (to someone),あげる,母に花を{{あげる}}。
kureru,to give (to me),くれる,先生が私に本を{{くれる}}。
kasu,to lend,貸す,友達にお金を{{貸す}}。
kariru,to borrow,借りる,図書館で本を{{借りる}}。
kau,to buy,買う,スーパーで野菜を{{買う}}。
uru,to sell,売る,古い服を店に{{売る}}。
harau,to pay,払う,レストランでお金を{{払う}}。
sagasu,to search / to look for,探す,鍵を{{探す}}。
mitsukaru,to be found,見つかる,失くした携帯が{{見つかる}}。
katsu,to win,勝つ,試合に{{勝つ}}ために毎日練習しています。
makeru,to lose,負ける,彼は去年の試合で{{負ける}}ことになった。
isogu,to hurry,急ぐ,電車に乗り遅れないように{{急ぐ}}必要があります。
tomaru,to stop / to stay,止まる,赤信号で車が{{止まる}}。
hajimeru,to begin,始める,授業は九時に{{始める}}予定です。
owaru,to end / to finish,終わる,映画は十時に{{終わる}}でしょう。
kangaeru,to think / to consider,考える,この問題について{{考える}}のは難しい。
kimeru,to decide,決める,どの色を選ぶか今{{決める}}必要があります。
erabu,to choose,選ぶ,メニューから好きな料理を{{選ぶ}}ことができます。
narau,to learn / to take lessons,習う,私は毎週ピアノを{{習う}}。
oshieru,to teach / to tell,教える,先生が私たちに新しい文法を{{教える}}。
tasukeru,to help / to rescue,助ける,困っている人を{{助ける}}ことは大切です。
tetsudau,to help / to assist,手伝う,母が料理の準備を{{手伝う}}。
naosu,to fix / to correct,直す,壊れた時計を修理屋に{{直す}}。
kesu,to erase / to turn off,消す,寝る前にライトを{{消す}}。
tsukeru,to attach / to turn on,つける,朝エアコンを{{つける}}。
hiraku,to open,開く,朝窓を{{開く}}と新鮮な空気が入ります。
shimeru,to close,閉める,出かける前にドアを{{閉める}}。
dasu,to take out / to send,出す,ゴミを毎週火曜日に{{出す}}。
ireru,to put in,入れる,コーヒーカップにお湯を{{入れる}}。
suteru,to throw away,捨てる,使わない物を{{捨てる}}ことにしました。
katazukeru,to tidy up,片付ける,部屋を{{片付ける}}のに時間がかかります。
arau,to wash,洗う,食事の後に食器を{{洗う}}。
soji suru,to clean,掃除する,毎週土曜日に家全体を{{掃除する}}。
ryori suru,to cook,料理する,夜食事の{{料理する}}のは楽しいです。
