word,meaning,native,sentence
# ── Verbs ────────────────────────────────────────────────────────────────────
être,to be,,Je {{suis}} très heureux aujourd'hui avec ma famille.
avoir,to have,,Elle {{a}} trois enfants et une belle maison.
faire,to do / to make,,Nous {{faisons}} nos devoirs tous les soirs.
dire,to say / to tell,,Il {{dit}} toujours la vérité à ses amis.
aller,to go,,Vous {{allez}} au cinéma ce weekend avec nous.
voir,to see,,Je {{vois}} les montagnes depuis ma fenêtre.
savoir,to know (fact),,Tu {{sais}} que Paris est la capitale de France.
pouvoir,to be able to / can,,Nous {{pouvons}} visiter le musée demain matin.
vouloir,to want,,Elle {{veut}} apprendre le français très rapidement.
venir,to come,,Ils {{viennent}} nous rendre visite dimanche prochain.
devoir,to must / to have to,,Tu {{dois}} finir ton travail avant minuit.
prendre,to take,,Je {{prends}} le bus pour aller au travail.
trouver,to find,,Nous {{trouvons}} les réponses dans le dictionnaire.
donner,to give,,Il {{donne}} son argent aux enfants pauvres.
penser,to think,,Tu {{penses}} que c'est une bonne idée maintenant.
parler,to speak / to talk,,Ils {{parlent}} français très couramment tous les jours.
chercher,to look for / to search,,Je {{cherche}} mes clés depuis une heure.
mettre,to put / to place,,Elle {{met}} ses vêtements chauds pour sortir.
sembler,to seem,,Cela {{semble}} être une solution facile et logique.
rester,to stay / to remain,,Nous {{restons}} à la maison pendant les vacances.
sortir,to go out,,Je {{sors}} avec mes amis ce soir.
partir,to leave / to depart,,Ils {{partent}} en vacances demain matin tôt.
arriver,to arrive / to happen,,Le train {{arrive}} à la gare à neuf heures.
passer,to pass / to spend (time),,Nous {{passons}} deux semaines en Italie cet été.
appeler,to call,,Elle {{appelle}} sa mère tous les jours.
laisser,to leave / to let,,Je {{laisse}} mes enfants jouer dehors.
croire,to believe,,Tu {{crois}} que tout va s'arranger bientôt.
commencer,to begin / to start,,La classe {{commence}} à neuf heures du matin.
finir,to finish,,Nous {{finissons}} notre projet avant la deadline.
attendre,to wait,,Je {{attends}} mon ami devant le café.
porter,to carry / to wear,,Elle {{porte}} une belle robe rouge aujourd'hui.
tenir,to hold / to keep,,Il {{tient}} la main de son enfant.
montrer,to show,,Je {{montre}} les photos de vacances à tous.
connaître,to know (person/place),,Tu {{connais}} bien cette ville depuis longtemps.
comprendre,to understand,,Nous {{comprenons}} facilement la grammaire française.
suivre,to follow,,Ils {{suivent}} le cours de musique chaque semaine.
jouer,to play,,Les enfants {{jouent}} au parc après l'école.
vivre,to live,,Ma famille {{vit}} en France depuis deux ans.
aimer,to love / to like,,Je {{aime}} beaucoup les films français modernes.
entendre,to hear,,Nous {{entendons}} la musique depuis la rue.
écouter,to listen,,Elle {{écoute}} de la musique classique chaque jour.
lire,to read,,Je {{lis}} un roman français très intéressant.
écrire,to write,,Il {{écrit}} une lettre à son ami.
apprendre,to learn,,Nous {{apprenons}} le français avec un bon professeur.
travailler,to work,,Elle {{travaille}} dans une grande entreprise à Paris.
manger,to eat,,Ils {{mangent}} une délicieuse salade verte ce midi.
boire,to drink,,Je {{bois}} du café noir tous les matins.
dormir,to sleep,,Les enfants {{dorment}} paisiblement toute la nuit.
courir,to run,,Il {{court}} très vite au parc chaque jour.
marcher,to walk,,Nous {{marchons}} lentement dans la ville historique.
ouvrir,to open,,Elle {{ouvre}} la porte de sa maison le matin.
fermer,to close,,N'oublie pas de {{fermer}} les fenêtres avant de partir.
acheter,to buy,,Je vais {{acheter}} du pain à la boulangerie demain.
vendre,to sell,,Mon père {{vend}} sa vieille voiture cette année.
payer,to pay,,Tu dois {{payer}} l'électricité avant la fin du mois.
gagner,to win / to earn,,Notre équipe a {{gagné}} le match hier soir facilement.
perdre,to lose,,Il a {{perdu}} ses clés dans le parc hier.
tomber,to fall,,L'enfant est {{tombé}} de son vélo cet après-midi.
monter,to go up / to climb,,Nous {{montons}} les escaliers pour atteindre le troisième étage.
descendre,to go down,,Elle {{descend}} lentement du train avec ses bagages.
entrer,to enter,,Les élèves {{entrent}} en classe quand la cloche sonne.
revenir,to come back,,Il {{revient}} de ses vacances en montagne la semaine prochaine.
retourner,to return,,Elle {{retourne}} au magasin pour acheter une autre robe.
rentrer,to go home / to return,,Les enfants {{rentrent}} à la maison après l'école.
décider,to decide,,Nous avons {{décidé}} d'aller au cinéma samedi soir.
choisir,to choose,,Tu dois {{choisir}} entre le bleu et le rouge.
essayer,to try,,Je vais {{essayer}} ce nouveau restaurant avec mes amis.
utiliser,to use,,On {{utilise}} l'ordinateur pour faire nos devoirs chaque jour.
