word,meaning,native,sentence,ipa,notes
# ── Verbs ────────────────────────────────────────────────────────────────────
être,to be,,Je {{suis}} très heureux aujourd'hui avec ma famille.,ɛtʁ,
avoir,to have,,Elle {{a}} trois enfants et une belle maison.,avwaʁ,
faire,to do / to make,,Nous {{faisons}} nos devoirs tous les soirs.,fɛʁ,
dire,to say / to tell,,Il {{dit}} toujours la vérité à ses amis.,diʁ,
aller,to go,,Vous {{allez}} au cinéma ce weekend avec nous.,ale,
voir,to see,,Je {{vois}} les montagnes depuis ma fenêtre.,vwaʁ,
savoir,to know (fact),,Tu {{sais}} que Paris est la capitale de France.,savwaʁ,
pouvoir,to be able to / can,,Nous {{pouvons}} visiter le musée demain matin.,puvwaʁ,
vouloir,to want,,Elle {{veut}} apprendre le français très rapidement.,vulwaʁ,
venir,to come,,Ils {{viennent}} nous rendre visite dimanche prochain.,vəniʁ,
devoir,to must / to have to,,Tu {{dois}} finir ton travail avant minuit.,dəvwaʁ,
prendre,to take,,Je {{prends}} le bus pour aller au travail.,pʁɑ̃dʁ,
trouver,to find,,Nous {{trouvons}} les réponses dans le dictionnaire.,tʁuve,
donner,to give,,Il {{donne}} son argent aux enfants pauvres.,dɔne,
penser,to think,,Tu {{penses}} que c'est une bonne idée maintenant.,pɑ̃se,
parler,to speak / to talk,,Ils {{parlent}} français très couramment tous les jours.,paʁle,
chercher,to look for / to search,,Je {{cherche}} mes clés depuis une heure.,ʃɛʁʃe,
mettre,to put / to place,,Elle {{met}} ses vêtements chauds pour sortir.,mɛtʁ,
sembler,to seem,,Cela {{semble}} être une solution facile et logique.,sɑ̃ble,
rester,to stay / to remain,,Nous {{restons}} à la maison pendant les vacances.,ʁɛste,
sortir,to go out,,Je {{sors}} avec mes amis ce soir.,sɔʁtiʁ,
partir,to leave / to depart,,Ils {{partent}} en vacances demain matin tôt.,paʁtiʁ,
arriver,to arrive / to happen,,Le train {{arrive}} à la gare à neuf heures.,aʁive,
passer,to pass / to spend (time),,Nous {{passons}} deux semaines en Italie cet été.,pase,
appeler,to call,,Elle {{appelle}} sa mère tous les jours.,aple,
laisser,to leave / to let,,Je {{laisse}} mes enfants jouer dehors.,lese,
croire,to believe,,Tu {{crois}} que tout va s'arranger bientôt.,kʁwaʁ,
commencer,to begin / to start,,La classe {{commence}} à neuf heures du matin.,kɔmɑ̃se,
finir,to finish,,Nous {{finissons}} notre projet avant la deadline.,finiʁ,
attendre,to wait,,Je {{attends}} mon ami devant le café.,atɑ̃dʁ,
porter,to carry / to wear,,Elle {{porte}} une belle robe rouge aujourd'hui.,pɔʁte,
tenir,to hold / to keep,,Il {{tient}} la main de son enfant.,təniʁ,
montrer,to show,,Je {{montre}} les photos de vacances à tous.,mɔ̃tʁe,
connaître,to know (person/place),,Tu {{connais}} bien cette ville depuis longtemps.,kɔnɛtʁ,
comprendre,to understand,,Nous {{comprenons}} facilement la grammaire française.,kɔ̃pʁɑ̃dʁ,
suivre,to follow,,Ils {{suivent}} le cours de musique chaque semaine.,sɥivʁ,
jouer,to play,,Les enfants {{jouent}} au parc après l'école.,ʒwe,
vivre,to live,,Ma famille {{vit}} en France depuis deux ans.,vivʁ,
aimer,to love / to like,,Je {{aime}} beaucoup les films français modernes.,eme,
entendre,to hear,,Nous {{entendons}} la musique depuis la rue.,ɑ̃tɑ̃dʁ,
écouter,to listen,,Elle {{écoute}} de la musique classique chaque jour.,ekute,
lire,to read,,Je {{lis}} un roman français très intéressant.,liʁ,
écrire,to write,,Il {{écrit}} une lettre à son ami.,ekʁiʁ,
apprendre,to learn,,Nous {{apprenons}} le français avec un bon professeur.,apʁɑ̃dʁ,
travailler,to work,,Elle {{travaille}} dans une grande entreprise à Paris.,tʁavaje,
manger,to eat,,Ils {{mangent}} une délicieuse salade verte ce midi.,mɑ̃ʒe,
boire,to drink,,Je {{bois}} du café noir tous les matins.,bwaʁ,
dormir,to sleep,,Les enfants {{dorment}} paisiblement toute la nuit.,dɔʁmiʁ,
courir,to run,,Il {{court}} très vite au parc chaque jour.,kuʁiʁ,
marcher,to walk,,Nous {{marchons}} lentement dans la ville historique.,maʁʃe,
ouvrir,to open,,Elle {{ouvre}} la porte de sa maison le matin.,uvʁiʁ,
fermer,to close,,N'oublie pas de {{fermer}} les fenêtres avant de partir.,fɛʁme,
acheter,to buy,,Je vais {{acheter}} du pain à la boulangerie demain.,aʃte,
vendre,to sell,,Mon père {{vend}} sa vieille voiture cette année.,vɑ̃dʁ,
payer,to pay,,Tu dois {{payer}} l'électricité avant la fin du mois.,peje,
gagner,to win / to earn,,Notre équipe a {{gagné}} le match hier soir facilement.,gaɲe,
perdre,to lose,,Il a {{perdu}} ses clés dans le parc hier.,pɛʁdʁ,
tomber,to fall,,L'enfant est {{tombé}} de son vélo cet après-midi.,tɔ̃be,
monter,to go up / to climb,,Nous {{montons}} les escaliers pour atteindre le troisième étage.,mɔ̃te,
descendre,to go down,,Elle {{descend}} lentement du train avec ses bagages.,desɑ̃dʁ,
entrer,to enter,,Les élèves {{entrent}} en classe quand la cloche sonne.,ɑ̃tʁe,
