word,meaning,native,sentence
# ── Verbs ────────────────────────────────────────────────────────────────────
是,to be,shì,他{{是}}我最好的朋友。
有,to have,yǒu,我{{有}}一只可爱的猫。
做,to do / to make,zuò,她每天{{做}}很多工作。
说,to say / to speak,shuō,他{{说}}话很有趣。
去,to go,qù,我们明天{{去}}公园。
来,to come,lái,请你{{来}}我家玩。
看,to see / to look,kàn,我喜欢{{看}}电影。
听,to listen / to hear,tīng,我正在{{听}}音乐。
想,to think / to want,xiǎng,我{{想}}吃冰淇淋。
知道,to know,zhīdào,你{{知道}}答案吗？
能,to be able to / can,néng,我{{能}}帮助你。
要,to want / to need,yào,你{{要}}什么？
给,to give,gěi,请{{给}}我一杯水。
问,to ask,wèn,我{{问}}他一个问题。
回答,to answer,huí dá,他{{回答}}了我的问题。
喜欢,to like,xǐhuān,我{{喜欢}}吃中国菜。
爱,to love,ài,我{{爱}}我的家人。
吃,to eat,chī,我们一起{{吃}}午餐。
喝,to drink,hē,他{{喝}}了一杯咖啡。
睡觉,to sleep,shuì jiào,我晚上十点{{睡觉}}。
走,to walk,zǒu,我们{{走}}到车站。
跑,to run,pǎo,孩子们在{{跑}}步。
开,to open / to drive,kāi,"请{{开}}门,我来了。"
关,to close,guān,请{{关}}上窗户。
买,to buy,mǎi,我{{买}}了一本书。
卖,to sell,mài,他{{卖}}新鲜蔬菜。
付钱,to pay,fù qián,我{{付钱}}买了票。
找,to look for / to find,zhǎo,我在{{找}}我的钥匙。
写,to write,xiě,她{{写}}了一封信。
读,to read,dú,我喜欢{{读}}小说。
学习,to study / to learn,xuéxí,我们每天{{学习}}。
工作,to work,gōngzuò,他在公司{{工作}}。
帮助,to help,bāngzhù,我{{帮助}}她做功课。
用,to use,yòng,你{{用}}筷子吃饭。
换,to change,huàn,我想{{换}}一个房间。
开始,to begin / to start,kāishǐ,课程{{开始}}了。
结束,to end / to finish,jiéshù,电影{{结束}}了。
等,to wait,děng,请{{等}}我一分钟。
旅行,to travel,lǚxíng,我喜欢{{旅行}}。
参观,to visit,cānguān,我们{{参观}}了博物馆。
游泳,to swim,yóuyǒng,我们去{{游泳}}。
飞,to fly,fēi,飞机{{飞}}向天空。
开车,to drive,kāichē,他{{开车}}去上班。
坐,to sit,zuò,请{{坐}}下来。
站,to stand,zhàn,她{{站}}在窗边。
决定,to decide,juédìng,我{{决定}}去旅行。
选择,to choose,xuǎnzé,你{{选择}}哪一个？
记得,to remember,jìde,我{{记得}}这件事。
忘记,to forget,wàngjì,他{{忘记}}了密码。
相信,to believe / to trust,xiāngxìn,我{{相信}}你。
同意,to agree,tóngyi,我{{同意}}你的意见。
拒绝,to refuse,jùjué,他{{拒绝}}了我的请求。
接受,to accept / to receive,jiēshòu,我{{接受}}这份工作。
发送,to send,fāsòng,请{{发送}}邮件给我。
理解,to understand / to solve,lǐjiě,我{{理解}}你的感受。
减少,to reduce,jiǎnshǎo,我们需要{{减少}}成本。
增加,to increase,zēngjiā,销售{{增加}}了很多。
改变,to change,gǎibiàn,他{{改变}}了主意。
保证,to guarantee,bǎozhèng,我{{保证}}准时到达。
建议,to suggest,jiànyì,我{{建议}}你休息一下。
检查,to check,jiǎnchá,医生{{检查}}了我的身体。
准备,to prepare,zhǔnbèi,我{{准备}}明天的考试。
发展,to develop,fāzhǎn,公司快速{{发展}}中。
教,to teach,jiào,他{{教}}我学习数学。
搬,to move (objects),bān,我们{{搬}}到新房子。
推,to push,tuī,请{{推}}开这扇门。
拉,to pull,lā,他{{拉}}着我的手。
扔,to throw,rēng,我{{扔}}掉垃圾。
拿,to hold / to take,ná,请{{拿}}一杯水给我。
放,to put / to place,fàng,我{{放}}书在桌子上。
收,to collect / to receive,shōu,妈妈{{收}}到了一封信。
打,to hit / to play (sports),dǎ,孩子们{{打}}篮球。
踢,to kick,tī,他{{踢}}足球很厉害。
跳,to jump,tiào,小女孩{{跳}}得很高。
唱歌,to sing,chàng gē,她喜欢{{唱歌}}。
跳舞,to dance,tiào wǔ,我们一起{{跳舞}}。
做饭,to cook,zuò fàn,妈妈在{{做饭}}。
打扫,to clean / to sweep,dǎsǎo,我{{打扫}}房间。
洗,to wash,xǐ,请{{洗}}你的手。
睡,to sleep,shuì,我晚上九点{{睡}}觉。
休息,to rest,xiūxi,你需要{{休息}}一下。
修,to repair,xiū,他{{修}}了自行车。
订,to book / to order,dìng,我{{订}}了一间酒店。
借,to borrow / to lend,jiè,你能{{借}}我钱吗？
还,to return (something),huán,我明天{{还}}书给你。
逃,to escape / to flee,táo,小鸟{{逃}}走了。
救,to save / to rescue,jiù,他{{救}}了溺水的人。
保护,to protect,bǎohù,我们{{保护}}环境。
鼓励,to encourage,gǔlì,老师{{鼓励}}我们。
禁止,to forbid,jìnzhǐ,这里{{禁止}}吸烟。
允许,to allow,yǔnxǔ,我{{允许}}你去玩。
确认,to confirm,quèrèn,请{{确认}}你的邮箱。
取消,to cancel,qǔxiāo,会议被{{取消}}了。
推迟,to postpone,tuīchí,演出{{推迟}}了一周。
毕业,to graduate,bìyè,他今年{{毕业}}。
入学,to enrol,rùxué,孩子{{入学}}了。
结婚,to get married,jiéhūn,他们今年{{结婚}}。
离婚,to get divorced,líhūn,他们决定{{离婚}}。
# ── Nouns — People & Society ─────────────────────────────────────────────────
人,person / people,rén,这里有很多{{人}}。
男人,man,nánrén,那个{{男人}}很高。
女人,woman,nǚrén,那个{{女人}}很聪明。
孩子,child,háizi,这个{{孩子}}很可爱。
男孩,boy,nánhái,{{男孩}}在公园里玩。
女孩,girl,nǚhái,小{{女孩}}穿着红色裙子。
老人,elderly person,lǎorén,{{老人}}每天散步。
朋友,friend,péngyou,他是我的好{{朋友}}。
邻居,neighbour,línjū,我的{{邻居}}很友善。
同事,colleague,tóngshì,我和{{同事}}一起工作。
老师,teacher,lǎoshī,{{老师}}教我数学。
学生,student,xuésheng,{{学生}}在认真听课。
医生,doctor,yīshēng,{{医生}}给我检查身体。
护士,nurse,hùshi,{{护士}}很关心病人。
警察,police,jǐngchá,{{警察}}维护社区安全。
士兵,soldier,shìbīng,{{士兵}}保卫国家。
工人,worker,gōngrén,{{工人}}在建设大楼。
农民,farmer,nóngmín,{{农民}}种植水稻。
商人,merchant / businessman,shāngrén,这个{{商人}}很成功。
官员,official,guānyuán,{{官员}}参加会议。
# ── Nouns — Family ────────────────────────────────────────────────────────────
家庭,family,jiātíng,我的{{家庭}}很和睦。
父母,parents,fùmǔ,{{父母}}很爱我。
父亲,father,fùqīn,我的{{父亲}}是医生。
母亲,mother,mǔqīn,{{母亲}}为我做饭。
儿子,son,érzi,他有一个{{儿子}}。
女儿,daughter,nǚ'ér,她的{{女儿}}很聪慧。
哥哥,older brother,gēge,我的{{哥哥}}在大学。
弟弟,younger brother,dìdi,{{弟弟}}喜欢踢足球。
姐姐,older sister,jiějie,{{姐姐}}帮我做功课。
妹妹,younger sister,mèimei,{{妹妹}}在睡觉。
丈夫,husband,zhàngfu,她的{{丈夫}}很温柔。
妻子,wife,qīzi,他的{{妻子}}是律师。
祖父,paternal grandfather,zǔfù,{{祖父}}给我讲故事。
祖母,paternal grandmother,zǔmǔ,{{祖母}}做的饭很好吃。
外公,maternal grandfather,wàigōng,{{外公}}在楼下散步。
外婆,maternal grandmother,wàipó,{{外婆}}陪我玩。
叔叔,uncle,shūshu,{{叔叔}}明天来我家。
阿姨,aunt,āyí,{{阿姨}}教我唱歌。
表哥,older male cousin,biǎogē,{{表哥}}是个工程师。
表妹,younger female cousin,biǎomèi,{{表妹}}和我在一个班。
# ── Nouns — Time ─────────────────────────────────────────────────────────────
时间,time,shíjiān,{{时间}}过得很快。
年,year,nián,去{{年}}我去了北京。
月,month,yuè,三{{月}}天气很暖和。
周,week,zhōu,下一{{周}}我很忙。
天,day,tiān,今{{天}}是晴{{天}}。
小时,hour,xiǎoshí,我睡了八{{小时}}。
分钟,minute,fēnzhōng,等我十{{分钟}}。
秒,second,miǎo,还有三{{秒}}就开始。
早上,morning,zǎoshang,{{早上}}我去跑步。
下午,afternoon,xiàwǔ,{{下午}}我有课。
晚上,evening / night,wǎnshang,{{晚上}}我看电视。
今天,today,jīntiān,{{今天}}天气很好。
明天,tomorrow,míngtiān,{{明天}}天气会很好。
昨天,yesterday,zuótiān,{{昨天}}我去了公园。
现在,now / present,xiànzài,{{现在}}几点了？
过去,past,guòqù,{{过去}}的事情已经过去。
未来,future,wèilái,我对{{未来}}充满希望。
以前,before / in the past,yǐqián,{{以前}}我住在北京。
以后,after / in the future,yǐhòu,{{以后}}我要更努力。
世纪,century,shìjì,二十一{{世纪}}是信息时代。
星期一,Monday,xīngqī yī,{{星期一}}我要上班。
星期二,Tuesday,xīngqī èr,{{星期二}}有英语课。
星期三,Wednesday,xīngqī sān,{{星期三}}我去看医生。
星期四,Thursday,xīngqī sì,{{星期四}}下午开会。
星期五,Friday,xīngqī wǔ,{{星期五}}晚上去聚餐。
星期六,Saturday,xīngqī liù,{{星期六}}我休息。
星期天,Sunday,xīngqī tiān,{{星期天}}全家一起出游。
一月,January,yī yuè,{{一月}}是新的开始。
二月,February,èr yuè,{{二月}}是春节月份。
三月,March,sān yuè,{{三月}}天气转暖。
四月,April,sì yuè,{{四月}}花开了。
五月,May,wǔ yuè,{{五月}}劳动节放假。
六月,June,liù yuè,{{六月}}天气很热。
七月,July,qī yuè,{{七月}}放暑假了。
八月,August,bā yuè,{{八月}}仍然很炎热。
九月,September,jiǔ yuè,{{九月}}新学期开始。
十月,October,shí yuè,{{十月}}是秋天。
十一月,November,shíyī yuè,{{十一月}}天气变冷。
十二月,December,shí'èr yuè,{{十二月}}准备过年。
春天,spring,chūntiān,{{春天}}是最美的季节。
夏天,summer,xiàtiān,{{夏天}}我喜欢游泳。
秋天,autumn / fall,qiūtiān,{{秋天}}枫叶红了。
冬天,winter,dōngtiān,{{冬天}}经常下雪。
# ── Nouns — Place & Direction ────────────────────────────────────────────────
地方,place,dìfang,这是个很美的{{地方}}。
国家,country,guójiā,中国是我的{{国家}}。
城市,city,chéngshì,上海是个大{{城市}}。
首都,capital city,shǒudū,北京是中国的{{首都}}。
省,province,shěng,广东{{省}}很发达。
镇,town,zhèn,我住在一个小{{镇}}。
村庄,village,cūnzhuāng,这个{{村庄}}很安静。
家,home / house,jiā,我{{家}}有四口人。
学校,school,xuéxiào,我在这所{{学校}}读书。
大学,university,dàxué,我考上了重点{{大学}}。
医院,hospital,yīyuàn,他在{{医院}}工作。
银行,bank,yínháng,我去{{银行}}取钱。
商店,shop,shāngdiàn,{{商店}}里有很多商品。
市场,market,shìchǎng,我们去{{市场}}买菜。
公园,park,gōngyuán,周末我去{{公园}}散步。
图书馆,library,túshūguǎn,{{图书馆}}有很多书。
酒店,hotel,jiǔdiàn,我们在五星{{酒店}}住宿。
餐厅,restaurant,cāntīng,这家{{餐厅}}很有名。
机场,airport,jīchǎng,我在{{机场}}接朋友。
火车站,train station,huǒchē zhàn,我每天都去{{火车站}}上班。
北方,north,běifāng,{{北方}}的冬天很冷。
南方,south,nánfāng,{{南方}}的天气很温暖。
东方,east,dōngfāng,{{东方}}升起了红日。
西方,west,xīfāng,{{西方}}文化很有趣。
上面,above / on top,shàngmiàn,桌子{{上面}}放着书。
下面,below / underneath,xiàmiàn,椅子{{下面}}有地毯。
前面,in front,qiánmiàn,学校{{前面}}有公园。
后面,behind / at the back,hòumiàn,房子{{后面}}是花园。
里面,inside,lǐmiàn,盒子{{里面}}有糖果。
外面,outside,wàimiàn,{{外面}}下雨了。
左边,left side,zuǒbiān,我坐在你的{{左边}}。
右边,right side,yòubiān,商店在街的{{右边}}。
中间,middle / between,zhōngjiān,他站在我们{{中间}}。
旁边,beside / next to,pángbiān,树{{旁边}}有一条河。
附近,nearby,fùjìn,医院在这里{{附近}}。
# ── Nouns — Nature & Environment ────────────────────────────────────────────
自然,nature,dàzìrán,我喜欢{{自然}}的美景。
天空,sky,tiānkōng,{{天空}}很蓝很美。
太阳,sun,tàiyáng,{{太阳}}很暖和。
月亮,moon,yuèliàng,晚上{{月亮}}很亮。
星星,star,xīngxīng,夜晚有许多{{星星}}。
云,cloud,yún,天上的{{云}}很白。
雨,rain,yǔ,今天下{{雨}}了。
雪,snow,xuě,冬天下{{雪}}很漂亮。
风,wind,fēng,{{风}}很大。
雷,thunder,léi,听到{{雷}}声了吗？
闪电,lightning,shǎndiàn,{{闪电}}照亮了夜空。
雾,fog / mist,wù,早上有很多{{雾}}。
冰,ice,bīng,冬天{{冰}}很厚。
火,fire,huǒ,小心{{火}}会烧伤。
土地,earth / land,tǔdì,农民在{{土地}}上工作。
石头,stone,shítou,地上有一块{{石头}}。
山,mountain,shān,这座{{山}}很高。
河,river,hé,{{河}}里有很多鱼。
湖,lake,hú,我们去{{湖}}边散步。
海,sea,hǎi,我喜欢去{{海}}边。
森林,forest,sēnlín,{{森林}}里很安静。
田野,field,tiányě,{{田野}}里长满庄稼。
树,tree,shù,这棵{{树}}很大。
花,flower,huā,她喜欢种{{花}}。
草,grass,cǎo,草地上长满{{草}}。
植物,plant,zhíwù,{{植物}}需要水。
动物,animal,dòngwù,{{动物}}园里很有趣。
狗,dog,gǒu,我的{{狗}}很聪明。
猫,cat,māo,{{猫}}喜欢吃鱼。
鸟,bird,niǎo,{{鸟}}在天空飞。
鱼,fish,yú,我抓到了一条{{鱼}}。
马,horse,mǎ,{{马}}跑得很快。
牛,cow,niú,农场有很多{{牛}}。
猪,pig,zhū,{{猪}}在泥里打滚。
羊,sheep,yáng,农场里有一只白色的{{羊}}。
鸡,chicken (animal),jī,每天早上{{鸡}}都会打鸣。
兔子,rabbit,tùzi,小女孩养了一只可爱的{{兔子}}。
蛇,snake,shé,公园里出现了一条{{蛇}}。
老虎,tiger,lǎohǔ,动物园的{{老虎}}很凶猛。
狮子,lion,shīzi,非洲的{{狮子}}是森林之王。
大象,elephant,dàxiàng,{{大象}}的鼻子很长很有力。
# ── Nouns — Body ─────────────────────────────────────────────────────────────
身体,body,shēntǐ,运动对{{身体}}很有好处。
头,head,tóu,我的{{头}}有点疼。
脸,face,liǎn,她的{{脸}}红红的很害羞。
眼睛,eye,yǎnjīng,他的{{眼睛}}很明亮。
鼻子,nose,bízi,冬天我的{{鼻子}}很容易流鼻涕。
嘴巴,mouth,zuǐba,别用{{嘴巴}}说脏话。
耳朵,ear,ěrduo,我的{{耳朵}}听力很好。
牙齿,tooth,yáchǐ,刷{{牙齿}}可以保持口腔卫生。
舌头,tongue,shétou,{{舌头}}可以尝出食物的味道。
脖子,neck,bózi,他{{脖子}}上戴了条项链。
肩膀,shoulder,jiānbǎng,她靠在他的{{肩膀}}上。
胳臂,arm,gēbei,我的{{胳臂}}被晒黑了。
手,hand,shǒu,请举起你的{{手}}。
手指,finger,shǒuzhǐ,他用{{手指}}指向远方。
腿,leg,tuǐ,跑步时我的{{腿}}很酸痛。
脚,foot,jiǎo,我的{{脚}}踩到了水。
膝盖,knee,xīgài,他跪下时{{膝盖}}受伤了。
心脏,heart,xīnzàng,医生检查了他的{{心脏}}。
肺,lung,fèi,吸烟对{{肺}}的伤害很大。
胃,stomach,wèi,他的{{胃}}不太好。
脑,brain,nǎo,要用{{脑}}仔细思考问题。
血,blood,xuè,献{{血}}可以救助其他人。
骨头,bone,gǔtou,狗喜欢啃{{骨头}}。
肌肉,muscle,jīròu,健身可以增长{{肌肉}}。
皮肤,skin,pífū,她的{{皮肤}}光滑细腻。
头发,hair,tóufa,她的{{头发}}很长很黑。
# ── Nouns — Food & Drink ─────────────────────────────────────────────────────
食物,food,shíwù,我们需要营养的{{食物}}。
饭,cooked rice / meal,fàn,每天我都要吃三顿{{饭}}。
面包,bread,miànbāo,早餐我吃了一片{{面包}}。
面条,noodles,miàntiáo,我喜欢吃{{面条}}。
饺子,dumplings,jiǎozi,春节我们一起包{{饺子}}。
包子,steamed buns,bāozi,早上买了几个肉{{包子}}。
馒头,steamed bread,mántou,{{馒头}}是北方的主食。
米饭,steamed rice,mǐfàn,一碗热{{米饭}}很香。
粥,porridge / congee,zhōu,生病时喝{{粥}}很舒服。
豆腐,tofu,dòufu,{{豆腐}}含有很多蛋白质。
蔬菜,vegetables,shūcài,吃{{蔬菜}}对身体很好。
水果,fruit,shuíguǒ,她每天吃{{水果}}。
肉,meat,ròu,这道菜的{{肉}}很嫩。
鸡肉,chicken (meat),jī ròu,{{鸡肉}}的营养很丰富。
猪肉,pork,zhūròu,我喜欢吃{{猪肉}}。
牛肉,beef,niúròu,这个汉堡的{{牛肉}}很厚。
鱼肉,fish (food),yúròu,{{鱼肉}}含有丰富的蛋白质。
鸡蛋,egg,jīdàn,早餐我吃了两个{{鸡蛋}}。
牛奶,milk,niúnǎi,孩子每天喝{{牛奶}}。
奶酪,cheese,nǎilào,这个{{奶酪}}很好吃。
黄油,butter,huángyóu,面包涂上{{黄油}}更香。
油,oil,yóu,炒菜需要用{{油}}。
盐,salt,yán,汤里放了太多{{盐}}。
糖,sugar,táng,咖啡里加{{糖}}很甜。
酱油,soy sauce,jiàngyóu,炒饭需要{{酱油}}。
醋,vinegar,cù,我喜欢吃酸{{醋}}。
咖啡,coffee,kāfēi,早上喝{{咖啡}}清醒。
茶,tea,chá,下午我喝绿{{茶}}。
啤酒,beer,píjiǔ,朋友带来了{{啤酒}}。
葡萄酒,wine,pútaojiǔ,晚宴喝{{葡萄酒}}。
果汁,juice,guǒzhī,孩子喜欢喝{{果汁}}。
水,water,shuǐ,每天要喝八杯{{水}}。
苹果,apple,píngguǒ,我买了红{{苹果}}。
香蕉,banana,xiāngjiāo,{{香蕉}}含有钾元素。
橘子,orange,júzi,冬天吃{{橘子}}很酸。
草莓,strawberry,cǎoméi,{{草莓}}又红又甜。
西瓜,watermelon,xīguā,夏天吃{{西瓜}}很凉爽。
葡萄,grapes,pútao,这串{{葡萄}}很新鲜。
柠檬,lemon,níngméng,{{柠檬}}水很酸。
桃子,peach,táozi,农场的{{桃子}}很好吃。
梨,pear,lí,{{梨}}能清热润肺。
西红柿,tomato,xīhóngshì,{{西红柿}}炒蛋很美味。
黄瓜,cucumber,huángguā,沙拉里有{{黄瓜}}。
生菜,lettuce,shēngcài,{{生菜}}很新鲜脆。
胡萝卜,carrot,húluóbo,{{胡萝卜}}含维生素A。
土豆,potato,tǔdòu,晚餐吃了{{土豆}}。
洋葱,onion,yángcōng,炒菜时加{{洋葱}}。
大蒜,garlic,dàsuàn,{{大蒜}}能杀菌。
辣椒,chilli pepper,làjiāo,这道菜放了{{辣椒}}。
蘑菇,mushroom,mógu,汤里加了{{蘑菇}}。
# ── Nouns — Clothing ─────────────────────────────────────────────────────────
衣服,clothes,yīfu,我买了新{{衣服}}。
衬衫,shirt,chènshān,他穿着白{{衬衫}}。
裤子,trousers,kùzi,这条{{裤子}}很舒适。
裙子,skirt,qúnzi,妹妹的{{裙子}}很漂亮。
外套,jacket / coat,wàitào,冬天要穿{{外套}}。
鞋子,shoes,xiézi,我的{{鞋子}}磨损了。
袜子,socks,wàzi,抽屉里有{{袜子}}。
帽子,hat,màozi,{{帽子}}保护头部。
围巾,scarf,wéijīn,围上{{围巾}}很温暖。
手套,gloves,shǒutào,冬天戴{{手套}}保暖。
# ── Nouns — Home & Objects ───────────────────────────────────────────────────
桌子,table,zhuōzi,书在{{桌子}}上。
椅子,chair,yǐzi,请坐{{椅子}}上。
沙发,sofa,shāfā,我在{{沙发}}上看电视。
床,bed,chuáng,晚上睡{{床}}上。
