word,meaning,native,sentence,ipa,notes
# ── Verbs ────────────────────────────────────────────────────────────────────
iru,to be / to exist (animate),いる,猫がここに{{いる}}。,LH iru,
aru,to be / to exist (inanimate),ある,机の上に本が{{ある}}。,LH aru,
suru,to do,する,毎日勉強を{{する}}。,LH suru,
iku,to go,行く,明日公園に{{行く}}。,LH iku,
kuru,to come,来る,友達が家に{{来る}}。,LH kuru,
miru,to see / to look,見る,映画を{{見る}}のが好きです。,LH miru,
kiku,to hear / to listen / to ask,聞く,先生の説明を{{聞く}}。,LH kiku,
iu,to say,言う,私は彼に{{言う}}。,LH iu,
omou,to think,思う,これはいい考えだと{{思う}}。,LH omou,
wakaru,to understand,わかる,日本語の意味が{{わかる}}。,LHL wakaru,
shiru,to know,知る,その話を{{知る}}。,LH shiru,
naru,to become,なる,春になると暖かく{{なる}}。,LH naru,
tsukau,to use,使う,ペンを{{使う}}して書きます。,LHL tsukau,
taberu,to eat,食べる,朝ごはんを{{食べる}}。,LHL taberu,
nomu,to drink,飲む,水を{{飲む}}。,LH nomu,
kaku,to write,書く,日記を{{書く}}。,LH kaku,
yomu,to read,読む,新聞を毎日{{読む}}。,LH yomu,
hanasu,to speak / to talk,話す,友達と日本語を{{話す}}。,LHL hanasu,
au,to meet,会う,来週友達に{{会う}}。,LH au,
kaeru,to return / to go home,帰る,仕事が終わって{{帰る}}。,LHL kaeru,
deru,to leave / to exit,出る,朝七時に家を{{出る}}。,LH deru,
hairu,to enter,入る,教室に{{入る}}。,LHL hairu,
mitsukeru,to find,見つける,失くした鍵を{{見つける}}。,LHLL mitsukeru,
motsu,to hold / to have,持つ,荷物を{{持つ}}。,LH motsu,
okiru,to wake up / to happen,起きる,毎朝六時に{{起きる}}。,LHL okiru,
neru,to sleep,寝る,夜十時に{{寝る}}。,LH neru,
hashiru,to run,走る,公園で子どもが{{走る}}。,LHL hashiru,
aruku,to walk,歩く,駅から家まで{{歩く}}。,LHL aruku,
oyogu,to swim,泳ぐ,夏にプールで{{泳ぐ}}。,LHL oyogu,
tobu,to fly / to jump,飛ぶ,鳥が空に{{飛ぶ}}。,LH tobu,
tsukuru,to make / to create,作る,母が夕食を{{作る}}。,LHL tsukuru,
kowasu,to break,壊す,子どもがおもちゃを{{壊す}}。,LHL kowasu,
haku,to put on (shoes/pants),はく,靴を{{はく}}。,LH haku,
kiru,to wear / to cut,着る,新しいシャツを{{着る}}。,LH kiru,
nugu,to take off (clothes),脱ぐ,暑いので、シャツを{{脱ぐ}}ことにしました。,LH nugu,
noseru,to put on / to load,乗せる,荷物を車に{{乗せる}}。,LHL noseru,
oriru,to get off / to come down,降りる,駅で電車から{{降りる}}。,LHL oriru,
nooru,to ride / to get on,乗る,自転車に{{乗る}}。,LH noru,
toru,to take / to pick up,取る,机の上の本を{{取る}}。,LH toru,
okuru,to send,送る,手紙を友達に{{送る}}。,LHL okuru,
morau,to receive,もらう,兄からプレゼントを{{もらう}}。,LHL morau,
ageru,to give (to someone),あげる,母に花を{{あげる}}。,LHL ageru,
kureru,to give (to me),くれる,先生が私に本を{{くれる}}。,LHL kureru,
kasu,to lend,貸す,友達にお金を{{貸す}}。,LH kasu,
kariru,to borrow,借りる,図書館で本を{{借りる}}。,LHL kariru,
kau,to buy,買う,スーパーで野菜を{{買う}}。,LH kau,
uru,to sell,売る,古い服を店に{{売る}}。,LH uru,
harau,to pay,払う,レストランでお金を{{払う}}。,LHL harau,
sagasu,to search / to look for,探す,鍵を{{探す}}。,LHL sagasu,
mitsukaru,to be found,見つかる,失くした携帯が{{見つかる}}。,LHLL mitsukaru,
katsu,to win,勝つ,試合に{{勝つ}}ために毎日練習しています。,H katsu,
makeru,to lose,負ける,彼は去年の試合で{{負ける}}ことになった。,LH makeru,
isogu,to hurry,急ぐ,電車に乗り遅れないように{{急ぐ}}必要があります。,LH isogu,
tomaru,to stop / to stay,止まる,赤信号で車が{{止まる}}。,LH tomaru,
hajimeru,to begin,始める,授業は九時に{{始める}}予定です。,LLH hajimeru,
owaru,to end / to finish,終わる,映画は十時に{{終わる}}でしょう。,LH owaru,
kangaeru,to think / to consider,考える,この問題について{{考える}}のは難しい。,LLL kangaeru,
kimeru,to decide,決める,どの色を選ぶか今{{決める}}必要があります。,LH kimeru,
