word,meaning,native,sentence,ipa
# ── Verbs ────────────────────────────────────────────────────────────────────
sein,to be,,Das Wetter {{ist}} heute sehr schön und warm.,ˈzaɪ̯n
haben,to have,,Ich {{habe}} einen neuen Hund bekommen letzte Woche.,ˈhaːbən
werden,to become / will (future),,Du {{wirst}} nächstes Jahr in die Universität gehen.,ˈvɛʁdən
können,to be able to / can,,Er {{kann}} sehr gut Englisch sprechen und verstehen.,ˈkɛnən
müssen,to must / to have to,,Wir {{müssen}} morgen früh aufstehen für die Arbeit.,ˈmʏsən
sagen,to say,,"Sie {{sagte}}, dass sie morgen nicht kommen kann.",ˈzaːɡən
machen,to do / to make,,Was {{machst}} du heute Abend nach der Schule?,ˈmaxən
gehen,to go,,Ich {{gehe}} jeden Tag zum Supermarkt einkaufen.,ˈɡeːən
wissen,to know (fact),,"Ich {{weiß}} nicht, wo mein Schlüssel ist.",ˈvɪsən
sehen,to see,,Wir {{sehen}} die Berge von unserem Fenster aus.,ˈzeːən
kommen,to come,,Meine Freunde {{kommen}} heute um sieben Uhr zu Besuch.,ˈkɔmən
wollen,to want,,Die Kinder {{wollen}} ins Kino gehen am Wochenende.,ˈvɔlən
geben,to give,,Der Lehrer {{gibt}} uns viel Hausaufgaben auf Freitag.,ˈɡeːbən
denken,to think,,"Ich {{denke}}, dass dieser Film sehr interessant ist.",ˈdɛŋkən
sprechen,to speak,,Meine Eltern {{sprechen}} drei verschiedene Sprachen zu Hause.,ˈʃpʁɛçən
finden,to find,,Ich {{finde}} meinen Pass nicht überall im Haus.,ˈfɪndən
lassen,to let / to leave,,Die Mutter {{lässt}} die Kinder draußen spielen heute.,ˈlasən
bleiben,to stay / to remain,,Wir {{bleiben}} drei Wochen in Italien im Sommer.,ˈblaɪ̯bən
mögen,to like,,Ich {{mag}} Pizza und Pasta sehr gerne.,ˈmøːɡən
stehen,to stand,,Der Mann {{steht}} an der Bushaltestelle und wartet.,ˈʃteːən
nehmen,to take,,Ich {{nehme}} ein Glas Wasser zum Frühstück.,ˈneːmən
halten,to hold / to stop,,Er {{hält}} den Ball fest in seiner Hand.,ˈhaltən
heißen,to be called / to mean,,Mein bester Freund {{heißt}} Marco und ist sehr lustig.,ˈhaɪ̯sən
liegen,to lie / to be located,,Die Stadt {{liegt}} am Fluss in der Mitte.,ˈliːɡən
scheinen,to seem / to shine,,Die Sonne {{scheint}} heute sehr hell und warm.,ˈʃaɪ̯nən
zeigen,to show,,Der Tourist {{zeigt}} uns die alten Kirchen in der Stadt.,ˈtsaɪ̯ɡən
führen,to lead,,Die Straße {{führt}} direkt zum Rathaus im Zentrum.,ˈfyːʁən
rufen,to call / to shout,,Der Trainer {{ruft}} die Spieler zum Training zusammen.,ˈʁuːfən
folgen,to follow,,Die Hunde {{folgen}} ihrem Besitzer überall im Park.,ˈfɔlɡən
fragen,to ask,,Der Schüler {{fragt}} den Lehrer nach der Hausaufgabe.,ˈfʁaːɡən
helfen,to help,,Mein Bruder {{hilft}} mir bei den Mathematik-Aufgaben.,ˈhɛlfən
kaufen,to buy,,Meine Mutter {{kauft}} Gemüse und Obst am Markt.,ˈkaʊ̯fən
arbeiten,to work,,Mein Vater {{arbeitet}} in einem großen Büro in der Stadt.,ˈaʁbaɪ̯tən
lesen,to read,,Die Mädchen {{lesen}} gerne Bücher vor dem Schlafengehen.,ˈleːzən
schreiben,to write,,Der Schriftsteller {{schreibt}} einen neuen Roman über Liebe.,ˈʃʁaɪ̯bən
hören,to hear / to listen,,Ich {{höre}} gerne klassische Musik von Beethoven.,ˈhøːʁən
lernen,to learn,,Wir {{lernen}} Deutsch und Französisch in der Schule.,ˈlɛʁnən
wohnen,to live / to reside,,Meine Großmutter {{wohnt}} in einem kleinen Dorf auf dem Land.,ˈvoːnən
essen,to eat,,Wir {{essen}} zusammen um sieben Uhr zum Abendessen.,ˈɛsən
trinken,to drink,,Die Sportler {{trinken}} viel Wasser nach dem Training.,ˈtʁɪŋkən
schlafen,to sleep,,Der Baby {{schläft}} sehr lange und ruhig jeden Tag.,ˈʃlaːfən
laufen,to run / to walk,,Die Kinder {{laufen}} schnell im Park herum und lachen.,ˈlaʊ̯fən
spielen,to play,,Die Jungen {{spielen}} Fußball auf dem Schulplatz.,ˈʃpiːlən
